Number,Name,Difficulty,Time Req,Category,DONE?
1,Two Sum,Easy,15 mins,Array,1
2,Valid Parentheses,Easy,20 mins,Stack,1
3,Merge Two Sorted Lists,Easy,20 mins,Linked List,1
4,Best Time to Buy and Sell Stock,Easy,20 mins,Array,1
5,Valid Palindrome,Easy,15 mins,String,0
6,Invert Binary Tree,Easy,15 mins,Binary Tree,1
7,Valid Anagram,Easy,15 mins,String,1
8,Binary Search,Easy,15 mins,Binary Search,1
9,Flood Fill,Easy,20 mins,Graph,0
10,Maximum Subarray,Easy,20 mins,Dynamic Programming,1
11,Lowest Common Ancestor of a Binary Search Tree,Easy,20 mins,Binary Search Tree,1
12,Insert Interval,Medium,25 mins,Array,1
13,01 Matrix,Medium,30 mins,Graph,0
14,K Closest Points to Origin,Medium,30 mins,Heap,1
15,Balanced Binary Tree,Easy,15 mins,Binary Tree,1
16,Linked List Cycle,Easy,20 mins,Linked List,1
17,Implement Queue using Stacks,Easy,20 mins,Stack,0
18,First Bad Version,Easy,20 mins,Binary Search,0
19,Ransom Note,Easy,15 mins,Hash Table,0
20,Longest Substring Without Repeating Characters,Medium,30 mins,String,0
21,3Sum,Medium,30 mins,Array,1
22,Binary Tree Level Order Traversal,Medium,20 mins,Binary Tree,1
23,Clone Graph,Medium,25 mins,Graph,1
24,Evaluate Reverse Polish Notation,Medium,30 mins,Stack,0
25,Course Schedule,Medium,30 mins,Graph,1
26,Implement Trie (Prefix Tree),Medium,35 mins,Trie,0
27,Coin Change,Medium,25 mins,Dynamic Programming,1
28,Product of Array Except Self,Medium,30 mins,Array,0
29,Climbing Stairs,Easy,20 mins,Dynamic Programming,1
30,Longest Palindrome,Easy,20 mins,String,0
31,Min Stack,Easy,20 mins,Stack,0
32,Reverse Linked List,Easy,20 mins,Linked List,1
33,Validate Binary Search Tree,Medium,20 mins,Binary Search Tree,1
34,Number of Islands,Medium,25 mins,Graph,1
35,Rotting Oranges,Medium,30 mins,Graph,0
36,Search in Rotated Sorted Array,Medium,30 mins,Binary Search,0
37,Combination Sum,Medium,30 mins,Array,1
38,Permutations,Medium,30 mins,Recursion,1
39,Merge Intervals,Medium,30 mins,Array,1
40,Lowest Common Ancestor of a Binary Tree,Medium,25 mins,Binary Tree,1
41,Time Based Key-Value Store,Medium,35 mins,Binary Search,0
42,Minimum Window Substring,Hard,30 mins,String,0
43,Serialize and Deserialize Binary Tree,Hard,40 mins,Binary Tree,1
44,Trapping Rain Water,Hard,35 mins,Stack,0
45,Find Median from Data Stream,Hard,30 mins,Heap,1
46,Majority Element,Easy,20 mins,Array,0
47,Add Binary,Easy,15 mins,Binary,0
48,Diameter of Binary Tree,Easy,30 mins,Binary Tree,1
49,Middle of the Linked List,Easy,20 mins,Linked List,0
50,Accounts Merge,Medium,30 mins,Graph,0
51,Sort Colors,Medium,25 mins,Array,0
52,Word Break,Medium,30 mins,Trie,0
53,Partition Equal Subset Sum,Medium,30 mins,Dynamic Programming,0
54,String to Integer (atoi),Medium,25 mins,String,0
55,Spiral Matrix,Medium,25 mins,Matrix,0
56,Subsets,Medium,30 mins,Recursion,1
57,Binary Tree Right Side View,Medium,20 mins,Binary Tree,0
58,Longest Palindromic Substring,Medium,25 mins,String,0
59,Word Ladder,Hard,45 mins,Graph,1
60,Basic Calculator,Hard,40 mins,Stack,0
61,Maximum Profit in Job Scheduling,Hard,45 mins,Binary Search,0
62,Merge k Sorted Lists,Hard,30 mins,Heap,0
63,Largest Rectangle in Histogram,Hard,35 mins,Stack,0
64,Maximum Depth of Binary Tree,Easy,15 mins,Binary Tree,1
65,Contains Duplicate,Easy,15 mins,Array,1
66,Unique Paths,Medium,20 mins,Dynamic Programming,0
67,Construct Binary Tree from Preorder and Inorder Traversal,Medium,25 mins,Binary Tree,1
68,Container With Most Water,Medium,35 mins,Array,0
69,Letter Combinations of a Phone Number,Medium,30 mins,Recursion,0
70,Word Search,Medium,30 mins,Graph,1
71,Find All Anagrams in a String,Medium,30 mins,String,1
72,Minimum Height Trees,Medium,30 mins,Graph,0
73,Task Scheduler,Medium,35 mins,Heap,0
74,LRU Cache,Medium,30 mins,Linked List,1
75,Kth Smallest Element in a BST,Medium,25 mins,Binary Search Tree,0
76,Daily Temperatures,Medium,30 mins,Stack,0
77,House Robber,Medium,25 mins,Dynamic Programming,1
78,Meeting Rooms,Easy,20 mins,Array,0
79,Roman to Integer,Easy,20 mins,Math,0
80,Backspace String Compare,Easy,15 mins,Stack,0
81,Gas Station,Medium,30 mins,Array,0
82,Next Permutation,Medium,30 mins,Recursion,0
83,Valid Sudoku,Medium,35 mins,Matrix,0
84,Group Anagrams,Medium,25 mins,String,1
85,Maximum Product Subarray,Medium,30 mins,Dynamic Programming,0
86,Design Add and Search Words Data Structure,Medium,35 mins,Trie,0
87,Pacific Atlantic Water Flow,Medium,30 mins,Graph,1
88,Remove Nth Node From End of List,Medium,20 mins,Linked List,0
89,Shortest Path to Get Food,Medium,30 mins,Graph,0
90,Find the Duplicate Number,Medium,20 mins,Binary,0
91,Top K Frequent Words,Medium,30 mins,Heap,0
92,Binary Tree Maximum Path Sum,Hard,35 mins,Binary Tree,0
93,Maximum Frequency Stack,Hard,40 mins,Stack,0
94,Counting Bits,Easy,15 mins,Binary,0
95,Longest Increasing Subsequence,Medium,30 mins,Dynamic Programming,1
96,Graph Valid Tree,Medium,30 mins,Graph,0
97,Course Schedule II,Medium,35 mins,Graph,1
98,Swap Nodes in Pairs,Medium,25 mins,Linked List,0
99,Path Sum II,Medium,25 mins,Binary Tree,0
100,Longest Consecutive Sequence,Medium,30 mins,Array,1
101,Rotate Array,Medium,25 mins,Array,0
102,Odd Even Linked List,Medium,25 mins,Linked List,0
103,Decode String,Medium,30 mins,Stack,0
104,Contiguous Array,Medium,30 mins,Array,0
105,Maximum Width of Binary Tree,Medium,20 mins,Binary Tree,0
106,Find K Closest Elements,Medium,30 mins,Heap,0
107,Longest Repeating Character Replacement,Medium,30 mins,String,0
108,Median of Two Sorted Arrays,Hard,40 mins,Binary Search,0
109,Same Tree,Easy,20 mins,Binary Tree,1
110,Number of 1 Bits,Easy,15 mins,Binary,1
111,Longest Common Prefix,Easy,20 mins,String,0
112,Inorder Successor in BST,Medium,30 mins,Binary Search Tree,0
113,Jump Game,Medium,20 mins,Dynamic Programming,1
114,Add Two Numbers,Medium,25 mins,Linked List,0
115,Generate Parentheses,Medium,25 mins,Recursion,0
116,Sort List,Medium,25 mins,Linked List,0
117,Number of Connected Components in an Undirected Graph,Medium,30 mins,Graph,0
118,Minimum Knight Moves,Medium,35 mins,Graph,1
119,Subarray Sum Equals K,Medium,35 mins,Array,0
120,Asteroid Collision,Medium,30 mins,Stack,0
121,Random Pick with Weight,Medium,25 mins,Math,0
122,Kth Largest Element in an Array,Medium,30 mins,Heap,1
123,Longest Increasing Path in a Matrix,Hard,40 mins,Graph,1
124,Longest Valid Parentheses,Hard,35 mins,Stack,1
125,Design In-Memory File System,Hard,40 mins,Trie,0
126,Employee Free Time,Hard,35 mins,Array,0
127,Single Number,Easy,15 mins,Binary,0
128,Palindrome Linked List,Easy,20 mins,Linked List,0
129,Move Zeroes,Easy,20 mins,Array,0
130,Maximal Square,Medium,30 mins,Dynamic Programming,0
131,Rotate Image,Medium,25 mins,Matrix,0
132,Binary Tree Zigzag Level Order Traversal,Medium,25 mins,Binary Tree,0
133,Design Hit Counter,Medium,30 mins,Queue,0
134,Path Sum III,Medium,35 mins,Binary Tree,0
135,Pow(x n), Medium,20 mins,Math,0
136,Search a 2D Matrix,Medium,30 mins,Binary Search,0
137,Largest Number,Medium,20 mins,String,0
138,Word Search II,Hard,40 mins,Graph,0
139,Alien Dictionary,Hard,45 mins,Graph,0
140,Bus Routes,Hard,45 mins,Graph,0
141,Symmetric Tree,Easy,20 mins,Binary Tree,0
142,Missing Number,Easy,15 mins,Binary,0
143,Decode Ways,Medium,25 mins,Dynamic Programming,0
144,Meeting Rooms II,Medium,30 mins,Array,0
145,Reverse Integer,Medium,25 mins,Math,0
146,Set Matrix Zeroes,Medium,25 mins,Matrix,0
147,Reorder List,Medium,25 mins,Linked List,0
148,Encode and Decode Strings,Medium,25 mins,String,0
149,Cheapest Flights Within K Stops,Medium,45 mins,Graph,1
150,All Nodes Distance K in Binary Tree,Medium,25 mins,Binary Tree,0
151,Sliding Window Maximum,Hard,35 mins,Array,0
152,Palindrome Number,Easy,15 mins,Math,0
153,Convert Sorted Array to Binary Search Tree,Easy,20 mins,Binary Search Tree,0
154,Reverse Bits,Easy,15 mins,Binary,0
155,Subtree of Another Tree,Easy,20 mins,Binary Tree,0
156,Squares of a Sorted Array,Easy,20 mins,Array,0
157,3Sum Closest,Medium,30 mins,Array,0
158,Rotate List,Medium,25 mins,Linked List,0
159,Find Minimum in Rotated Sorted Array,Medium,30 mins,Binary Search,0
160,Basic Calculator II,Medium,30 mins,Stack,0
161,Combination Sum IV,Medium,35 mins,Dynamic Programming,0
162,Insert Delete GetRandom O(1),Medium,20 mins,Hash Table,0
163,Non-overlapping Intervals,Medium,20 mins,Array,0
164,Palindrome Pairs,Hard,40 mins,String,0
